OperatorName,Entity,Lon,Lat,DateProductionStart,PerfIntervalGross_CLEAN,PerfIntervalGross,LBS_FT_CLEAN,BBL_FT_CLEAN,Spacing_Avg,GOR_6M,LBS_GAL,IPLiquid,CUM6Liquid,CUM12Liquid
ENERVEST OPERATING LLC,1420200099477H,-97.87704,29.012511,1/1/2017,4333,4333,2821,57,792,,1.18,52580,,
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200104901H,-97.84681,28.99167,1/1/2017,4824,4824,2228,59,504,,0.9,23646,,
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200104902H,-97.846856,28.991621,1/1/2017,4731,4731,2507,56,551,,1.06,23647,,
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200106503H,-97.862508,29.015967,1/1/2017,4749,4749,2534,52,439,,1.16,17258,,
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200106504H,-97.862427,29.015843,1/1/2017,4764,4764,2527,53,630,,1.13,16508,,
BHP BILLITON PETROLEUM(TXLA OP) COMP,1420200106502H,-97.862543,29.016021,1/1/2017,4356,4356,2528,53,414,,1.13,16883,,
MURPHY EXPLORATION & PRODUCTION CO-U,14202001049111H,-97.84386,28.97582,9/1/2016,5577,5577,2368,53,244,1138,1.07,11575,39510,
EOG RESOURCES INCORPORATED,1420200098319H,-97.747569,29.106117,10/1/2016,4018,4018,1449,30,303,1163,1.13,7759,22490,
EOG RESOURCES INCORPORATED,1420200110014H,-97.884206,28.987142,3/1/2017,6249,6249,2943,59,234,,1.19,32457,,
EOG RESOURCES INCORPORATED,1420200110013H,-97.8843,28.987094,3/1/2017,5358,5358,2978,60,200,,1.19,17584,,
MARATHON OIL EF LLC,142020010590503H,-97.95222,28.92559,7/1/2016,5339,5339,1021,19,247,959,1.26,19620,73141,
MARATHON OIL EF LLC,142020010590504H,-97.95209,28.92548,7/1/2016,4134,4134,2361,43,236,1158,1.32,32113,108587,
EOG RESOURCES INCORPORATED,1420200109182H,-97.768469,29.051558,7/1/2016,5038,5038,3035,55,292,1472,1.31,38917,150466,
EOG RESOURCES INCORPORATED,1420200109183H,-97.768467,29.051475,7/1/2016,4831,4831,3029,53,230,1432,1.35,47288,177834,
BURLINGTON RESOURCES O&G CO LP,1.42E+12,-97.799942,29.018297,9/1/2016,4537,4537,2522,51,906,610,1.18,68873,190979,
EOG RESOURCES INCORPORATED,14202001037811H,-97.71755,29.09768,9/1/2016,5765,5765,2981,58,210,1317,1.22,63464,280067,
MARATHON OIL EF LLC,1420200099235H,-97.94163,28.89262,9/1/2016,4170,4170,2111,24,636,1126,2.09,30538,85852,
EOG RESOURCES INCORPORATED,14202001037812H,-97.71764,29.09765,9/1/2016,5900,5900,2997,54,220,1192,1.31,60115,195859,
EOG RESOURCES INCORPORATED,1420200110276H,-97.86716,29.00529,10/1/2016,3940,3940,2847,57,269,1116,1.2,24438,84105,
MARATHON OIL EF LLC,142020009913501H,-97.9628,28.87858,10/1/2016,5485,5485,1982,24,218,1398,1.95,19164,70930,
EOG RESOURCES INCORPORATED,1420200110094H,-97.914794,28.977786,1/1/2017,5052,5052,2755,54,259,,1.22,25514,,
EOG RESOURCES INCORPORATED,1420200110095H,-97.914875,28.977746,1/1/2017,5192,5192,2678,58,233,,1.11,29348,,
MARATHON OIL EF LLC,1420200099134H,-97.962519,28.878592,10/1/2016,5504,5504,1968,23,241,1644,2.03,18985,67367,
MURPHY EXPLORATION & PRODUCTION CO-U,1420200102943H,-97.834611,29.022023,1/1/2017,4977,4977,2844,59,846,,1.16,20278,,
MURPHY EXPLORATION & PRODUCTION CO-U,1420200113181H,-97.881396,28.934992,3/1/2017,4096,4096,2759,57,439,,1.16,23040,,
EOG RESOURCES INCORPORATED,1420200108408H,-97.7769,29.046031,2/1/2017,4024,4024,2968,56,204,,1.27,56882,,
EOG RESOURCES INCORPORATED,1420200108407H,-97.776792,29.046031,2/1/2017,4024,4024,3032,59,217,,1.23,48877,,
EOG RESOURCES INCORPORATED,1420200108403H,-97.776681,29.046031,2/1/2017,4048,4048,2982,56,227,,1.28,35389,,
EOG RESOURCES INCORPORATED,1420200108409H,-97.778164,29.046031,2/1/2017,4154,4154,3069,57,226,,1.27,42379,,
EOG RESOURCES INCORPORATED,14202001084010H,-97.778258,29.046031,2/1/2017,4150,4150,3015,57,218,,1.27,57695,,
EOG RESOURCES INCORPORATED,1420200109907H,-97.889567,28.984883,3/1/2017,6337,6337,2778,59,268,,1.13,24256,,
MURPHY EXPLORATION & PRODUCTION CO-U,1420200113301H,-97.882802,28.934993,3/1/2017,4219,4219,2813,58,355,,1.16,28026,,
